"","Phylum","Latitude","Longitude","Entw.stad","N.c","N.t","Independent.study.ID","N","Stressor","Response.type","t..d.","T1.m","T2.m","Ph1.m","Ph2.m","O1.m","O1.sd","O2.m","O2.sd","units","S1.m","S2.m","Val1.m","Val2.m","ResponseTypeSimple","ResponseNegative","id","Genus","Family","Order","Class","SpeciesAcc","ClassFossil","yi","vi","T.mr","Ph.mr","O.mr","S.mr","Gensamcom","Famsamcom","Ordsamcom","Clasamcom","TPref.Min.10th","TPref.Max.90th","Tcontprox","Ttreatprox","motility","composition","life_habit","diet","buffered","Paper","Publiziert","MinEffect","MinVar","Rand"
"42","Chordata",-14.664432,145.475312,"Adult",7,7,8,7,"pH","Maximum MO2",7,29,29,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,1021.9355,773.2258,"Metabolism",FALSE,"ES.42","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Ostorhinchus cyanosoma","Actinopterygii",-1.31695171737824,0.347655779496625,0,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,24.5,29.03,7.13721544708976,5.07011879896195,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"43","Chordata",-14.664432,145.475312,"Adult",7,7,9,NA,"T","Maximum MO2",7,29,33,8.15,8.15,NA,NA,NA,NA,NA,NA,NA,1021.9355,1112.9032,"Metabolism",FALSE,"ES.43","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Ostorhinchus cyanosoma","Actinopterygii",0.469284836030313,0.293579580618857,4,0,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,24.5,29.03,7.13721544708976,11.3643919388513,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,FALSE
"44","Chordata",-14.664432,145.475312,"Adult",7,7,10,7,"T","Maximum MO2",7,29,32,8.15,8.15,NA,NA,NA,NA,NA,NA,NA,1021.9355,980.3226,"Metabolism",FALSE,"ES.44","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Ostorhinchus cyanosoma","Actinopterygii",-0.220071940175376,0.287443987816163,3,0,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,24.5,29.03,7.13721544708976,9.79082365387898,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"50","Mollusca",41.065009,-72.40536,"Larvae",4,4,1,4,"T, pH","Metamorphosis",18,24,28,8.08,7.8,NA,NA,NA,NA,NA,28,28,-1.06329646552314,-1.01501271983282,"Development",FALSE,"ES.50","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",0.0787499080347388,0.500387596750967,4,-0.28,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,8.68655051398962,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,FALSE
"51","Mollusca",41.065009,-72.40536,"Larvae",4,4,2,4,"pH","Metamorphosis",18,24,24,8.08,7.8,NA,NA,NA,NA,NA,28,28,-1.06329646552314,-0.936538892704103,"Development",FALSE,"ES.51","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",0.2047495229892,0.502620147947769,0,-0.28,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,2.39227737410025,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"58","Mollusca",41.065009,-72.40536,"Larvae",4,4,3,4,"T","Size",20,24,28,8.08,8.09,NA,NA,NA,NA,NA,28,28,467,464,"Growth",FALSE,"ES.58","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",-0.099487663026649,0.500618612193407,4,0.00999999999999979,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,8.68655051398962,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"68","Mollusca",41.065009,-72.40536,"Juvenile",3,3,4,3,"T, pH","Tissue weight",21,24,28,8.091,7.617,NA,NA,NA,NA,NA,28,28,0.069,0.065,"Growth",FALSE,"ES.68","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",-0.0141454073855607,0.666683341045842,4,-0.473999999999999,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,8.68655051398962,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,FALSE
"69","Mollusca",41.065009,-72.40536,"Juvenile",3,3,5,3,"pH","Tissue weight",21,24,24,8.091,7.62,NA,NA,NA,NA,NA,28,28,0.069,0.0649,"Growth",FALSE,"ES.69","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",-0.0176498151492564,0.666692626331233,0,-0.470999999999999,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,2.39227737410025,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,TRUE,TRUE,TRUE
"70","Mollusca",41.065009,-72.40536,"Juvenile",3,3,6,3,"T","Tissue weight",21,24,28,8.091,8.09,NA,NA,NA,NA,NA,28,28,0.069,0.04,"Growth",FALSE,"ES.70","Mercenaria","Veneridae","Venerida","Bivalvia","Mercenaria mercenaria","Bivalvia",-0.103982606500269,0.667567698537882,4,-0.000999999999999446,NA,0,1,0.896551724137931,0,1,8.84,23.84,4.5014422403451,8.68655051398962,"facultatively mobile","aragonite","infaunal","suspension feeder",TRUE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,FALSE
"71","Mollusca",41.013133,-72.189439,"Larvae",4,4,7,4,"T, pH","Metamorphosis",20,24,28,8.08,7.81,NA,NA,NA,NA,NA,28,28,0.571199901357811,-1.12437860943234,"Development",FALSE,"ES.71","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-3.2645958470842,1.16609912779996,4,-0.27,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,6.53655051398962,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"75","Mollusca",41.013133,-72.189439,"Larvae",4,4,8,4,"pH","Survival",20,24,24,8.08,7.81,NA,NA,NA,NA,NA,28,28,0.662830793655853,0.183873912965632,"Survival",FALSE,"ES.75","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-1.61039669307163,0.662086094316003,0,-0.27,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,0.242277374100247,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"79","Mollusca",41.013133,-72.189439,"Larvae",4,4,9,4,"T","Size",20,24,28,8.08,7.81,NA,NA,NA,NA,NA,28,28,480,460,"Growth",FALSE,"ES.79","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-0.709291757889751,0.531443424863146,4,-0.27,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,6.53655051398962,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,FALSE
"90","Mollusca",41.013133,-72.189439,"Juvenile",3,3,11,3,"pH","Tissue weight",21,24,24,8.091,7.62,NA,NA,NA,NA,NA,28,28,0.175,0.125,"Growth",FALSE,"ES.90","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-0.750054506114436,0.713548480178547,0,-0.470999999999999,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,0.242277374100247,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"92","Mollusca",41.013133,-72.189439,"Juvenile",3,3,10,3,"T, pH","Survival",45,24,28,8.08,7.81,NA,NA,NA,NA,NA,28,28,0.687711296422245,-0.604504028858979,"Survival",FALSE,"ES.92","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-2.210955691608,1.07402708918782,4,-0.27,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,6.53655051398962,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"94","Mollusca",41.013133,-72.189439,"Juvenile",3,3,12,3,"T","Survival",45,24,28,8.08,8.08,NA,NA,NA,NA,NA,28,28,0.687711296422245,0.146949949898316,"Survival",FALSE,"ES.94","Argopecten","Pectinidae","Pectinida","Bivalvia","Argopecten irradians","Bivalvia",-1.12127892995968,0.771438869897628,4,0,NA,0,1,0.816666666666667,0.986301369863014,1,24.01,25.99,2.3514422403451,6.53655051398962,"facultatively mobile","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"98","Mollusca",41.013133,-72.189439,"Juvenile",3,3,13,3,"T, pH","Tissue weight",21,24,28,8.091,7.617,NA,NA,NA,NA,NA,28,28,0.38,0.253,"Growth",FALSE,"ES.98","Crassostrea","Ostreidae","Ostreida","Bivalvia","Crassostrea virginica","Bivalvia",-0.604049801783227,0.697073013586196,4,-0.473999999999999,NA,0,0.84,0.976190476190476,0.975308641975309,1,10.91,26.67,1.67144224034509,5.85655051398961,"stationary","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,FALSE
"99","Mollusca",41.013133,-72.189439,"Juvenile",3,3,14,3,"pH","Tissue weight",21,24,24,8.091,7.62,NA,NA,NA,NA,NA,28,28,0.38,0.155,"Growth",FALSE,"ES.99","Crassostrea","Ostreidae","Ostreida","Bivalvia","Crassostrea virginica","Bivalvia",-1.58118699605466,0.875012693041031,0,-0.470999999999999,NA,0,0.84,0.976190476190476,0.975308641975309,1,10.91,26.67,1.67144224034509,-0.437722625899752,"stationary","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"100","Mollusca",41.013133,-72.189439,"Juvenile",3,3,15,3,"T","Tissue weight",21,24,28,8.091,8.09,NA,NA,NA,NA,NA,28,28,0.38,0.21,"Growth",FALSE,"ES.100","Crassostrea","Ostreidae","Ostreida","Bivalvia","Crassostrea virginica","Bivalvia",-0.911443836115271,0.73589415553271,4,-0.000999999999999446,NA,0,0.84,0.976190476190476,0.975308641975309,1,10.91,26.67,1.67144224034509,5.85655051398961,"stationary","low Mg calcite","epifaunal","suspension feeder",FALSE,"Talmage, S. C., & Gobler, C. J. (2011). Effects of elevated temperature and carbon dioxide on the growth and survival of larvae and juveniles of three species of northwest Atlantic bivalves. PloS one, 6(10), e26941.",2011,FALSE,TRUE,TRUE
"101","Arthropoda",58.157913,17.146996,"Larvae",6,6,1,20,"T, pH","Survival",57,12.1,26.9,8.04,7.44,NA,NA,NA,NA,NA,15.1,17.4,-1.32291734161757,-1.17662562333049,"Survival",FALSE,"ES.101","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",0.194702099012459,0.334912871139994,14.8,-0.599999999999999,NA,2.3,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,TRUE
"102","Arthropoda",58.157913,17.146996,"Larvae",6,6,2,20,"T, pH","Survival",57,12.1,26.9,8.04,7.83,NA,NA,NA,NA,NA,15.1,17.4,8.33333333333333,13.8333333333333,"Survival",FALSE,"ES.102","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",0.588314523596882,0.347754749111459,14.8,-0.209999999999999,NA,2.3,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,FALSE
"103","Arthropoda",58.157913,17.146996,"Larvae",6,6,3,20,"T, pH","Survival",57,12.1,19.6,8.04,7.32,NA,NA,NA,NA,NA,15.1,16.1,8.33333333333333,24.1666666666667,"Survival",FALSE,"ES.103","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",2.64910109697108,0.625739025915559,7.5,-0.719999999999999,NA,1,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,FALSE
"104","Arthropoda",58.157913,17.146996,"Larvae",6,6,4,20,"T, pH","Survival",57,12.1,19.6,8.04,7.72,NA,NA,NA,NA,NA,15.1,16.1,8.33333333333333,20,"Survival",FALSE,"ES.104","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",1.73876337452804,0.459304086358339,7.5,-0.319999999999999,NA,1,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,TRUE
"105","Arthropoda",58.157913,17.146996,"Larvae",6,6,5,20,"pH","Survival",57,12.1,12.1,8.04,7.26,NA,NA,NA,NA,NA,15.1,15.1,-1.32291734161757,-2.44499262596432,"Survival",FALSE,"ES.105","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",-1.02011479589893,0.37669309153383,0,-0.779999999999999,NA,0,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,TRUE,TRUE,TRUE
"106","Arthropoda",58.157913,17.146996,"Larvae",6,6,6,20,"pH","Survival",57,12.1,12.1,8.04,7.67,NA,NA,NA,NA,NA,15.1,15.1,8.33333333333333,9.16666666666667,"Survival",FALSE,"ES.106","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",0.195841848446034,0.334931417900115,0,-0.369999999999999,NA,0,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,FALSE
"107","Arthropoda",58.157913,17.146996,"Larvae",6,6,7,20,"T","Survival",57,12.1,26.9,8.04,8.18,NA,NA,NA,NA,NA,15.1,17.4,-1.32291734161757,-1.00608337170559,"Survival",FALSE,"ES.107","Amphibalanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus improvisus","Cirripedia",0.440565677213042,0.341420754830758,14.8,0.140000000000001,NA,2.3,0,0.916666666666667,0.777777777777778,0,NA,NA,NA,NA,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Pansch, C., Nasrolahi, A., Appelhans, Y. S., & Wahl, M. (2012). Impacts of ocean warming and acidification on the larval development of the barnacle Amphibalanus improvisus. Journal of Experimental Marine Biology and Ecology, 420, 48-55.",2012,FALSE,TRUE,FALSE
